Incident_ID,Age,Gender,Race,School_Affiliation,Shooter_Outcome,Shooter_Died,Injury
19981103PAMAP,17,Male,,No Relation,Fled/Apprehended,false,None
19980930FLNOM,18,Male,,Student,Fled/Apprehended,false,None
19980930FLNOM,17,Male,,Student,Fled/Apprehended,false,None
19980930FLLEL,17,Male,,Student,Apprehended/Killed by LE,false,Wounded
19980911CAHEG,17,Male,,,Fled/Apprehended,false,None
19980615VAARR,15,Male,,Student,Fled/Apprehended,false,None
19980529FLSTF,29,Male,White,Intimate Relationship,Suicide,true,Suicide
19980527CAWAP,,Male,,,Fled/Escaped,false,None
19980521WAONO,14,Male,,Student,Suicide,true,Suicide
19980521ORTHS,15,Male,White,Student,Apprehended/Killed by LE,false,None
19980521CARIR,15,Male,Hispanic,Student,Suicide,true,Suicide
19980519TNLIF,18,Male,,Student,,false,None
19980501NYPUB,37,Male,,Police Officer/SRO,Fled/Apprehended,false,None
19980501FLNOM,Teen,Male,,,Fled/Apprehended,false,None
19980428WIPAP,15,Male,,No Relation,Fled/Apprehended,false,None
19980428CAPHP,14,Male,,No Relation,Fled/Apprehended,false,None
19980424PAPAE,14,Male,White,Student,Fled/Apprehended,false,None
19980423CACUL,,,,,Fled/Escaped,false,None
19980409IDTHA,14,Male,White,Student,Surrendered,false,None
19980331WIOAO,14,Male,,Student,Fled/Apprehended,false,None
19980330NCGRC,13,Female,,Student,Suicide,true,Suicide
19980325MICOC,18,Male,,Student,Suicide,true,Suicide
19980325CAFED,13,Male,,Student,Fled/Apprehended,false,None
19980324ARWEJ,11,Male,White,Student,Fled/Apprehended,false,None
19980324ARWEJ,13,Male,White,Student,Fled/Apprehended,false,None
19980227VAMAF,18,Male,Asian,,Fled/Apprehended,false,None
19980225MIRER,14,Male,,Student,Suicide,true,Suicide
19980212NJHOH,61,Male,,Intimate Relationship,Fled/Escaped,true,Suicide
19971215ARSTS,14,Male,White,Student,Fled/Apprehended,false,None
19971201KYHEW,14,Male,White,Student,Surrendered,false,None
19971113CACRS,39,Male,,Relative,Surrendered,false,None
19971107FLRIJ,18,Male,,Student,Fled/Apprehended,false,None
19971022CAJON,21,Male,Asian,Former Student,Suicide,true,Suicide
19971020CAMCO,,,,,Fled/Escaped,false,None
19971015FLLIP,13,Male,,Student,Fled/Apprehended,false,None
19971014TXLAG,19,Male,,Student,Suicide,true,Suicide
19971010INWAG,20,Male,,Former Student,Fled/Apprehended,false,None
19971005OKMOO,,Male,White,,Fled/Escaped,false,None
19971001MSPEP,16,Male,White,Student,Fled/Apprehended,false,None
19970624ALJEM,16,Male,Black,Student,Surrendered,false,None
19970520OHDUD,16,Male,,Student,,false,None
19970513FLNOM,17,Male,,Student,Fled/Apprehended,false,None
19970430NYCIN,,,,,Fled/Escaped,false,None
19970428CAJOL,15,Male,,Student,Fled/Apprehended,false,None
19970403CAMAM,,,,,Fled/Escaped,false,None
19970317MIPED,15,Male,,Student,Fled/Apprehended,false,None
19970221NVRAL,20,Male,Other,,Fled/Apprehended,false,None
19970220FLFIJ,17,Female,,Student,Suicide,true,Suicide
19970219AKBEB,16,Male,Native American/Alaska Native,Student,Surrendered,false,None
19970213NYSAB,Teen,Male,,Student,Fled/Escaped,false,None
19970213NYMOB,17,Male,,Student,,false,None
19970206MSWIJ,16,Male,Black,Student,Fled/Apprehended,false,None
19970127FLCOW,13,Male,Black,Student,Fled/Apprehended,false,None
19970108NYCRN,18,Male,Hispanic,Rival School Student,Fled/Apprehended,false,None
19970108NYCRN,18,Male,Hispanic,Rival School Student,Fled/Apprehended,false,None
19970108NYCRN,21,Male,Hispanic,Rival School Student,Fled/Apprehended,false,None
19961127CAHIS,,,,Police Officer/SRO,Law Enforcement,false,None
19961014MOSUS,14,Male,,Student,Fled/Apprehended,false,None
19961009ARJAS,14,Male,Black,Student,Fled/Apprehended,false,None
19961004CASTP,17,Male,,Student,Fled/Apprehended,false,None
19961002PASMP,Adult,Male,,Parent,Fled/Apprehended,false,None
19960925GADED,16,Male,Black,Student,Subdued by Students/Staff/Other,false,None
19960726CAJOL,18,Male,Hispanic,Student,Fled/Apprehended,false,None
19960604CAWEH,16,Male,,Student,Suicide,true,Suicide
19960522CACOC,14,Male,Hispanic,Former Student,Fled/Apprehended,false,None
19960514UTBIT,15,Male,White,Student,Suicide,true,Suicide
19960415DCMCW,,,,,,false,None
19960411ALTAT,16,Male,,Student,,false,None
19960319NVSWL,Teen,,,Student,,false,None
19960311NCNON,15,Male,White,Student,Suicide,true,Suicide
19960229MOBES,21,Male,Black,Hitman,Fled/Apprehended,false,None
19960222GAJES,15,Male,Black,Student,Fled/Apprehended,false,None
19960208CAMIM,16,Male,White,Student,Suicide,true,Suicide
19960202WAFRM,14,Male,White,Student,Subdued by Students/Staff/Other,false,None
19960126TNEAM,Adult,,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Escaped,false,None
19960119DCWIW,18,Male,Black,,Fled/Apprehended,false,None
19960102PAGIG,16,Male,,,Suicide,true,Suicide
19951128NYTHN,,Male,,,Fled/Escaped,false,None
19951115TNRIL,17,Male,White,Student,Subdued by Students/Staff/Other,false,None
19951102FLBLM,42,Male,Asian,No Relation,Apprehended/Killed by LE,true,Fatal
19951030VAJOR,17,Male,Black,Student,Fled/Apprehended,false,None
19951023FLLAC,16,Female,,Student,Other,false,Wounded
19951012SCBLB,16,Male,Black,Student,Suicide,true,Suicide
19950929FLTAT,14,Male,White,Student,Fled/Apprehended,false,None
19950927ALBLP,19,Male,,Relative,,false,None
19950915KYGEW,Teen,Male,,Student,,false,None
19950914KSOLO,17,Male,Black,Rival School Student,Fled/Apprehended,false,None
19950912TNCYM,15,Male,Black,Student,,false,None
19950829TXMEL,12,Male,White,Student,Fled/Apprehended,false,None
19950614FLLAL,19,Male,,Former Student,Fled/Apprehended,false,None
19950327MIRED,18,Male,,Student,Fled/Apprehended,false,None
19950303MIPED,,,,,Fled/Escaped,false,None
19950208NECHS,13,Male,,Student,,false,None
19950202CAJOL,,Male,,,Fled/Escaped,false,None
19950124DCSPW,16,Male,,Rival School Student,Fled/Apprehended,false,None
19950123CASAR,13,Male,White,Student,Fled/Escaped,true,Suicide
19950112WAGAS,15,Male,Black,Student,Fled/Apprehended,false,None
19950110FLPAP,15,Male,,Student,Suicide,true,Suicide
19950105DCCAW,14,Male,Black,Student,Fled/Apprehended,false,None
19941207FLPAM,19,Male,,Former Student,Apprehended/Killed by SRO,false,None
19941115WASTT,17,Male,White,Student,Suicide,true,Suicide
19941108IAWEM,16,Male,,Student,Fled/Escaped,false,None
19941107OHWIW,37,Male,White,Former Student,,false,None
19941105CATHS,Adult,Male,,,Fled/Escaped,false,None
19941031CAALA,16,Male,,Student,Attempted Suicide,false,Wounded
19941017ILHUC,,Male,,,Fled/Escaped,false,None
19941012NCGRG,16,Male,White,Student,Suicide,true,Suicide
19940922ORLEL,15,Male,,Student,,false,None
19940919CALOL,,Male,,,Fled/Escaped,false,None
19940908NYSWA,14,Male,,Student,Fled/Apprehended,false,None
19940907CAHOL,,Male,,,Fled/Escaped,false,None
19940725IAOTO,16,Male,,Student,Fled/Apprehended,false,None
19940724PAMAM,15,Male,,Nonstudent Using Athletic Facilities/Attending Game,Fled/Apprehended,false,None
19940526KYLAU,17,Male,White,Student,Subdued by Students/Staff/Other,false,None
19940525NJLAW,17,Female,,Student,Suicide,true,Suicide
19940525INLAS,16,Male,,Student,Fled/Apprehended,false,None
19940502FLNON,18,Male,,Student,,false,None
19940421TNJTN,14,Male,Black,Student,Fled/Apprehended,false,None
19940420INDIS,14,Male,,Student,,false,None
19940419DCELW,,,,,Fled/Escaped,false,None
19940413CA49L,10,Male,White,Student,Suicide,true,Suicide
19940412MTMAB,10,Male,White,Student,Apprehended/Killed by LE,false,None
19940408MDLAU,17,Male,,Student,Fled/Apprehended,false,None
19940405TXMCA,16,Male,,Student,Surrendered,false,None
19940325GAETC,15,Male,,Student,Suicide,true,Suicide
19940323WABAS,16,Male,Hispanic,,Fled/Apprehended,false,None
19940315SCGOC,Teen,Male,,Student,Fled/Escaped,false,None
19940309DCEAW,17,Male,,Student,Fled/Apprehended,false,None
19940303ALENB,17,Male,,Student,Fled/Apprehended,false,None
